type,path_img1,path_img2,distance
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/132240.jpg,1.4766452
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/126032.jpg,1.3337713
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/054616.jpg,1.211927
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/128724.jpg,1.3508531
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/032962.jpg,1.4546081
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/008922.jpg,1.4614614
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/100331.jpg,1.1411061
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/134302.jpg,1.4055057
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/029633.jpg,1.4487102
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/054757.jpg,1.4852111
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/000928.jpg,1.1981896
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/064838.jpg,1.3867503
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/145146.jpg,1.4004288
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/073526.jpg,1.319767
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/082947.jpg,1.3324788
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/072749.jpg,1.2736601
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/101978.jpg,1.3399495
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/133278.jpg,1.43253
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/133476.jpg,1.5279506
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/184525.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/080451.jpg,1.3630686
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/132240.jpg,1.2960223
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/126032.jpg,1.0741845
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/054616.jpg,1.3138527
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/128724.jpg,1.1009024
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/032962.jpg,1.408939
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/008922.jpg,1.267933
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/100331.jpg,1.1009622
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/134302.jpg,1.1912296
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/029633.jpg,1.2330146
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/054757.jpg,1.4166099
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/000928.jpg,1.4227376
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/064838.jpg,1.1945823
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/145146.jpg,1.2168666
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/073526.jpg,1.1743222
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/082947.jpg,1.250217
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/072749.jpg,0.93136203
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/101978.jpg,1.4090389
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/133278.jpg,1.2447792
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/133476.jpg,1.390814
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/196051.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/080451.jpg,1.2528493
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/188873.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/132240.jpg,1.4783658
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/188873.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/126032.jpg,1.5839436
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/188873.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/054616.jpg,1.4293061
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/188873.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/128724.jpg,1.5180143
8,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Add_star_re/10054/L/188873.jpg,/media/HDD/tripletloss_dataset/CelebA/7_type/test_set3/Non_LR/3448/032962.jpg,1.5068141
